product_id,core_item_name,item_type,batch_id
6007875003031,banana loaf,ingredient,ingredient_batch_0001
6009173182524,edible flowers,ingredient,ingredient_batch_0002
6009233372162,sprinkles,ingredient,ingredient_batch_0003
6009189991974,cream,ingredient,ingredient_batch_0004
20017286,strawberries,ingredient,ingredient_batch_0005
6009214594972,passion fruit pulp,ingredient,ingredient_batch_0006
6009233372209,sprinkles,ingredient,ingredient_batch_0007
6009233372155,sprinkles,ingredient,ingredient_batch_0008
6009233372148,sprinkles,ingredient,ingredient_batch_0009
6009223663782,seasonal sweets,ingredient,ingredient_batch_0010
6009233372186,sprinkles,ingredient,ingredient_batch_0011
6009233372193,cream,ingredient,ingredient_batch_0012
8002114019673,panettone,ingredient,ingredient_batch_0013
20018771,pita bread,ingredient,ingredient_batch_0014
6001009028594,pita bread,ingredient,ingredient_batch_0015
6009204538528,pita bread,ingredient,ingredient_batch_0016
6009184329970,tortilla wraps,ingredient,ingredient_batch_0017
6009211254374,wrap,ingredient,ingredient_batch_0018
20130381,naan,ingredient,ingredient_batch_0019
6009223401230,bagel,ingredient,ingredient_batch_0020
6009223401247,bagels,ingredient,ingredient_batch_0021
6001009012111,garlic naan bread,ingredient,ingredient_batch_0022
6009233983085,wraps,ingredient,ingredient_batch_0023
6009178545867,wraps,ingredient,ingredient_batch_0024
6009207367064,wrap,ingredient,ingredient_batch_0025
6009178807347,wraps,ingredient,ingredient_batch_0026
6009207542256,wraps,ingredient,ingredient_batch_0027
6009226729652,cauliflower wrap,ingredient,ingredient_batch_0028
6009214739502,wraps,ingredient,ingredient_batch_0029
6009184330006,roti,ingredient,ingredient_batch_0030
6009178545850,wraps,ingredient,ingredient_batch_0031
6009207542263,burritos,ingredient,ingredient_batch_0032
6009178807422,wraps,ingredient,ingredient_batch_0033
20018702,bread,ingredient,ingredient_batch_0034
20033897,bread,ingredient,ingredient_batch_0035
6001009005168,bread,ingredient,ingredient_batch_0036
20067113,bread,ingredient,ingredient_batch_0037
20019006,hot dog rolls,ingredient,ingredient_batch_0038
2067400000007,cheese puff,ingredient,ingredient_batch_0039
2097430000005,chicken pie,ready_meal,ingredient_batch_0040
2503910000002,pepper steak pie,ready_meal,ingredient_batch_0041
20019068,hamburger rolls,ingredient,ingredient_batch_0042
2503890000009,chicken pie,ready_meal,ingredient_batch_0043
6009204547407,sourdough bread,ingredient,ingredient_batch_0044
6009204921979,bread,ingredient,ingredient_batch_0045
6009204921986,bread,ingredient,ingredient_batch_0046
2503770000006,sausage roll,ready_meal,ingredient_batch_0047
2072840000005,sausage roll,ready_meal,ingredient_batch_0048
2505560000005,chicken mushroom pie,ready_meal,ingredient_batch_0049
6001009017444,bread,ingredient,ingredient_batch_0050
2532630000009,steak pie,ready_meal,ingredient_batch_0051
