product_id,catalog_ref_id,sku,name,brand,sale_price,detail_url,default_category,department,path
6009189899652,101693786,6009189899652,Chocolate & Vanilla Caramel Tray Bake 830 g,Woolies Brands,214.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Chocolate-Vanilla-Caramel-Tray-Bake-830-g/_/A-6009189899652,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6005000540086,100968365,6005000540086,Tiramisu Gateau 990 g,Woolies Brands,264.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Tiramisu-Gateau-990-g/_/A-6005000540086,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009204111097,101797781,6009204111097,Baked Cheesecake 850 g,Woolies Brands,254.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Baked-Cheesecake-850-g/_/A-6009204111097,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009211261617,101983932,6009211261617,Rainbow Celebration Cake 1 kg,Woolies Brands,409.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Rainbow-Celebration-Cake-1-kg/_/A-6009211261617,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009184296395,101571068,6009184296395,Carrot Gateau Cake 1 kg,Woolies Brands,264.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Carrot-Gateau-Cake-1-kg/_/A-6009184296395,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009000590805,101121985,6009000590805,Vanilla Caramel Sponge Cake 600 g,Woolies Brands,169.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Vanilla-Caramel-Sponge-Cake-600-g/_/A-6009000590805,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009173984500,101313126,6009173984500,Carrot Cake 840 g,Woolies Brands,194.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Carrot-Cake-840-g/_/A-6009173984500,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009189919466,101696074,6009189919466,Triple Layered Chocolate Gateau Cake 850 g,Woolies Brands,259.99,https://www.woolworths.co.za/prod/Food/Shop-by-Preference/Vegetarian/Bread-Bakery-Desserts/Cakes-Pastries-Muffins-Scones/Triple-Layered-Chocolate-Gateau-Cake-850-g/_/A-6009189919466,"Cakes, Pastries, Muffins & Scones",6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
20099534,100828035,20099534,Caramel Cream Cake 530 g,Woolies Brands,164.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Caramel-Cream-Cake-530-g/_/A-20099534,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009226522864,102891676,6009226522864,Chocolate Caramel Swirl Gateau 1.1 kg,Woolies Brands,264.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Cakes/Chocolate-Caramel-Swirl-Gateau-1-1-kg/_/A-6009226522864,Cakes,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009214762999,102113628,6009214762999,Chocolate Caramel Ombre Celebration Cake 1.2 kg,Woolies Brands,409.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Cakes/Chocolate-Caramel-Ombre-Celebration-Cake-1-2-kg/_/A-6009214762999,Cakes,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6001009066947,101143653,6001009066947,Peppermint Caramel Gateau 960 g,Woolies Brands,264.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Peppermint-Caramel-Gateau-960-g/_/A-6001009066947,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009233274121,103160644,6009233274121,Mini Vanilla Dream Gift Cake 10 cm,Woolies Brands,114.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Cakes/Mini-Vanilla-Dream-Gift-Cake-10-cm/_/A-6009233274121,Cakes,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
20049430,100827529,20049430,Chocolate Cake 600 g,Woolies Brands,139.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Chocolate-Cake-600-g/_/A-20049430,Cakes & Gateaux,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009233272080,103158909,6009233272080,Mini Chocolate Fiesta Gift Cake 10 cm,Woolies Brands,114.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Cakes/Mini-Chocolate-Fiesta-Gift-Cake-10-cm/_/A-6009233272080,Cakes,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
6009233570575,103264733,6009233570575,Chocolate Caramel Cake in a Cup 60 g,Woolies Brands,30.99,https://www.woolworths.co.za/prod/Food/Bakery/Cakes-Gateaux/Cupcakes/Chocolate-Caramel-Cake-in-a-Cup-60-g/_/A-6009233570575,Cupcakes,6202,"['Food', 'Bakery', 'Cakes & Gateaux']"
